match_played,rank,season,team_id,team_name,total_points
16.0,1,Season 1,3.0,Jaipur Pink Panthers,579.0
16.0,2,Season 1,5.0,U Mumba,550.0
16.0,3,Season 1,6.0,Patna Pirates,504.0
16.0,4,Season 1,1.0,Bengaluru Bulls,498.0
14.0,5,Season 1,8.0,Telugu Titans,497.0
14.0,6,Season 1,2.0,Dabang Delhi K.C.,456.0
14.0,7,Season 1,4.0,Bengal Warriors,430.0
14.0,8,Season 1,7.0,Puneri Paltan,405.0
16.0,1,Season 2,8.0,Telugu Titans,586.0
16.0,2,Season 2,1.0,Bengaluru Bulls,508.0
16.0,3,Season 2,5.0,U Mumba,489.0
16.0,4,Season 2,6.0,Patna Pirates,444.0
14.0,5,Season 2,3.0,Jaipur Pink Panthers,442.0
14.0,6,Season 2,2.0,Dabang Delhi K.C.,396.0
14.0,7,Season 2,7.0,Puneri Paltan,391.0
14.0,8,Season 2,4.0,Bengal Warriors,367.0
16.0,1,Season 3,6.0,Patna Pirates,594.0
16.0,2,Season 3,7.0,Puneri Paltan,510.0
16.0,3,Season 3,5.0,U Mumba,502.0
16.0,4,Season 3,4.0,Bengal Warriors,460.0
14.0,5,Season 3,8.0,Telugu Titans,427.0
14.0,6,Season 3,2.0,Dabang Delhi K.C.,384.0
14.0,7,Season 3,3.0,Jaipur Pink Panthers,364.0
14.0,8,Season 3,1.0,Bengaluru Bulls,362.0
16.0,1,Season 4,7.0,Puneri Paltan,515.0
16.0,2,Season 4,8.0,Telugu Titans,506.0
16.0,3,Season 4,6.0,Patna Pirates,492.0
16.0,4,Season 4,3.0,Jaipur Pink Panthers,475.0
14.0,5,Season 4,2.0,Dabang Delhi K.C.,419.0
14.0,6,Season 4,5.0,U Mumba,399.0
14.0,7,Season 4,4.0,Bengal Warriors,378.0
14.0,8,Season 4,1.0,Bengaluru Bulls,360.0
26.0,1,Season 5,6.0,Patna Pirates,1050.0
24.0,2,Season 5,31.0,Gujarat Fortunegiants,775.0
24.0,3,Season 5,7.0,Puneri Paltan,766.0
23.0,4,Season 5,30.0,U.P. Yoddha,762.0
24.0,5,Season 5,4.0,Bengal Warriors,749.0
23.0,6,Season 5,28.0,Haryana Steelers,727.0
22.0,7,Season 5,5.0,U Mumba,707.0
22.0,8,Season 5,8.0,Telugu Titans,696.0
22.0,9,Season 5,1.0,Bengaluru Bulls,689.0
22.0,10,Season 5,29.0,Tamil Thalaivas,681.0
22.0,11,Season 5,3.0,Jaipur Pink Panthers,631.0
22.0,12,Season 5,2.0,Dabang Delhi K.C.,598.0
24.0,1,Season 6,1.0,Bengaluru Bulls,887.0
25.0,2,Season 6,31.0,Gujarat Fortunegiants,876.0
23.0,3,Season 6,5.0,U Mumba,856.0
24.0,4,Season 6,2.0,Dabang Delhi K.C.,822.0
25.0,5,Season 6,30.0,U.P. Yoddha,812.0
22.0,6,Season 6,6.0,Patna Pirates,799.0
23.0,7,Season 6,4.0,Bengal Warriors,725.0
22.0,8,Season 6,28.0,Haryana Steelers,715.0
22.0,9,Season 6,3.0,Jaipur Pink Panthers,711.0
22.0,10,Season 6,29.0,Tamil Thalaivas,671.0
22.0,11,Season 6,7.0,Puneri Paltan,649.0
22.0,12,Season 6,8.0,Telugu Titans,647.0
19.0,1,Season 7,2.0,Dabang Delhi K.C.,709.0
19.0,2,Season 7,4.0,Bengal Warriors,676.0
19.0,3,Season 7,1.0,Bengaluru Bulls,656.0
20.0,4,Season 7,7.0,Puneri Paltan,652.0
19.0,5,Season 7,6.0,Patna Pirates,640.0
20.0,6,Season 7,3.0,Jaipur Pink Panthers,626.0
19.0,7,Season 7,28.0,Haryana Steelers,620.0
20.0,8,Season 7,31.0,Gujarat Fortunegiants,582.0
18.0,9,Season 7,8.0,Telugu Titans,564.0
18.0,10,Season 7,5.0,U Mumba,562.0
18.0,11,Season 7,30.0,U.P. Yoddha,551.0
19.0,12,Season 7,29.0,Tamil Thalaivas,546.0
131.0,1,Overall,6.0,Patna Pirates,4523.0
125.0,2,Overall,5.0,U Mumba,4065.0
125.0,3,Overall,1.0,Bengaluru Bulls,3960.0
122.0,4,Overall,8.0,Telugu Titans,3923.0
126.0,5,Overall,7.0,Puneri Paltan,3888.0
124.0,6,Overall,3.0,Jaipur Pink Panthers,3828.0
124.0,7,Overall,4.0,Bengal Warriors,3785.0
121.0,8,Overall,2.0,Dabang Delhi K.C.,3784.0
69.0,9,Overall,31.0,Gujarat Fortunegiants,2233.0
66.0,10,Overall,30.0,U.P. Yoddha,2125.0
64.0,11,Overall,28.0,Haryana Steelers,2062.0
63.0,12,Overall,29.0,Tamil Thalaivas,1898.0
